YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
2021,DEL PLAYA,B,APT,2.0,1,3500.0,3500.0,SFMVDM,4.0,N,N,Y
2021,PARDALL,1-4,TOWNHOUSE,2.0,1.5,2900.0,2900.0,SFMVDM,4.0,N,N,Y
2021,PICASSO,6,APT,1.0,1,1700.0,1700.0,SFMVDM,2.0,N,Y,Y
2021,PICASSO,7,APT,1.0,1,1700.0,1700.0,SFMVDM,2.0,N,N,Y
2021,PICASSO,C,APT,1.0,1,1700.0,1700.0,SFMVDM,2.0,N,N,Y
2021,PICASSO,"A, B, D, E",APT,2.0,1,2100.0,2100.0,SFMVDM,3.0,N,N,Y
2021,PICASSO,"1, 2, 4-7, 11, 14",APT,1.0,1,1510.0,1510.0,SFMVDM,2.0,N,N,Y
2021,PICASSO,"9, 10. 12, 13, 15",APT,1.0,1,1510.0,1510.0,SFMVDM,2.0,N,N,Y
2021,PICASSO,"8, 16",APT,2.0,1,2800.0,2800.0,SFMVDM,4.0,N,N,Y
2021,PICASSO,"1-3, 8-10",TOWNHOUSE,2.0,2,2900.0,2900.0,SFMVDM,4.0,N,Y,Y
2021,SABADO TARDE,"2-8, 11-17",0,0.0,1,1500.0,1500.0,SFMVDM,2.0,N,N,Y
2021,SABADO TARDE,"9, 18",0,0.0,1,1700.0,1700.0,SFMVDM,2.0,N,N,Y
2021,SABADO TARDE,"1, 10",APT,3.0,2,4000.0,4000.0,SFMVDM,5.0,N,N,Y
2021,SABADO TARDE,"1, 2",APT,2.0,2,3100.0,3100.0,SFMVDM,4.0,N,N,Y
2021,SABADO TARDE,"3, 4",APT,2.0,2,3200.0,3200.0,SFMVDM,4.0,N,N,Y
2021,SABADO TARDE,A-F,APT,2.0,1,2740.0,2740.0,SFMVDM,4.0,N,N,Y
2021,SABADO TARDE,3,APT,1.0,1,1600.0,1600.0,SFMVDM,2.0,N,N,Y
2021,SABADO TARDE,"1, 2, 4-6",APT,2.0,1,2740.0,2740.0,SFMVDM,4.0,N,N,Y
2021,SABADO TARDE,"A, B",APT,3.0,2,3900.0,3900.0,SFMVDM,5.0,N,N,Y
2021,SABADO TARDE,--,HOUSE,4.0,2,5400.0,5400.0,SFMVDM,6.0,N,,
2021,SABADO TARDE,"A, B ",APT,2.0,2,2960.0,2960.0,SFMVDM,4.0,N,N,Y
